date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:03	448/448	---M--	200	added ('OK')	text/plain	etag:W/%221c0-LEvfIZx80gSA6qEjkhDT6fK6I20%22	https://muizzkarim10.wixsite.com/robots.txt		(from )
16:47:03	559816/559816	---MCZ	200	added ('OK')	text/html	etag:W/%223402739275a82bc9a343f0271a42589c%22	https://muizzkarim10.wixsite.com/my-site	C:/My%20Web%20Sites/web%201/muizzkarim10.wixsite.com/my-site.html	(from )
16:47:04	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/web%201/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:05	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/web%201/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:07	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2005%20Apr%202024%2023:47:08%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/web%201/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://muizzkarim10.wixsite.com/my-site)
16:47:07	5345/5345	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202024%2023:47:09%20GMT	https://static.wixstatic.com/media/9c608a_d3d2804ad1cf4bc1926d84fbe424cc30.jpg/v1/fill/w_288,h_148,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/9c608a_d3d2804ad1cf4bc1926d84fbe424cc30.jpg	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/9c608a_d3d2804ad1cf4bc1926d84fbe424cc30.jpg/v1/fill/w_288,h_148,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/9c608a_d3d2804ad1cf4bc1926d84fbe424cc30.jpg	(from https://muizzkarim10.wixsite.com/my-site)
16:47:07	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202024%2023:47:10%20GMT	https://muizzkarim10.wixsite.com/	C:/My%20Web%20Sites/web%201/muizzkarim10.wixsite.com/index.html	(from https://muizzkarim10.wixsite.com/my-site)
16:47:08	1004/1004	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Apr%202024%2023:47:10%20GMT	https://static.wixstatic.com/media/9c608a_f4f19e97fa02415b9acf898635b3b825.png/v1/fill/w_49,h_34,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/9c608a_f4f19e97fa02415b9acf898635b3b825.png	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/9c608a_f4f19e97fa02415b9acf898635b3b825.png/v1/fill/w_49,h_34,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/9c608a_f4f19e97fa02415b9acf898635b3b825.png	(from https://muizzkarim10.wixsite.com/my-site)
16:47:08	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Apr%202024%2023:47:11%20GMT	https://muizzkarim10.wixsite.com/media/emptystate.85a4add5.svg	C:/My%20Web%20Sites/web%201/muizzkarim10.wixsite.com/media/emptystate.85a4add5.6.delayed	(from https://muizzkarim10.wixsite.com/my-site)
16:47:09	8090/8090	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Apr%202024%2023:47:11%20GMT	https://static.wixstatic.com/media/nsplsh_42336c306736484c787238~mv2_d_5472_3648_s_4_2.jpg/v1/fill/w_230,h_153,q_90/nsplsh_42336c306736484c787238~mv2_d_5472_3648_s_4_2.jpg	C:/My%20Web%20Sites/web%201/static.wixstatic.com/media/nsplsh_42336c306736484c787238_mv2_d_5472_3648_s_4_2.jpg/v1/fill/w_230,h_153,q_90/nsplsh_42336c306736484c787238_mv2_d_5472_3648_s_4_2.jpg	(from https://muizzkarim10.wixsite.com/my-site)
